# E_PKA(eV) n_PKA0_Target0 n_PKA0_Target1 n_PKA0_Target2 n_PKA1_Target0 n_PKA1_Target1 n_PKA1_Target2 n_PKA2_Target0 n_PKA2_Target1 n_PKA2_Target2 
3.999e+01 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
4.000e+01 1.000e+00 0.000e+00 0.000e+00 0.000e+00 1.000e+00 0.000e+00 0.000e+00 0.000e+00 1.000e+00
5.057e+01 1.000e+00 6.691e-03 1.500e-03 2.354e-02 1.000e+00 1.812e-03 1.128e-02 3.874e-03 1.000e+00
6.394e+01 1.000e+00 2.490e-02 7.346e-03 8.684e-02 1.000e+00 8.115e-03 5.539e-02 1.753e-02 1.000e+00
8.084e+01 1.000e+00 5.138e-02 1.788e-02 1.766e-01 1.000e+00 1.888e-02 1.345e-01 4.114e-02 1.000e+00
1.022e+02 1.042e+00 8.802e-02 3.269e-02 2.972e-01 1.000e+00 3.397e-02 2.431e-01 7.433e-02 1.000e+00
1.292e+02 1.165e+00 1.361e-01 5.285e-02 4.519e-01 1.000e+00 5.436e-02 3.871e-01 1.191e-01 1.000e+00
1.634e+02 1.348e+00 1.981e-01 7.926e-02 6.502e-01 1.023e+00 8.100e-02 5.729e-01 1.774e-01 1.002e+00
2.065e+02 1.591e+00 2.770e-01 1.133e-01 9.025e-01 1.087e+00 1.153e-01 8.114e-01 2.523e-01 1.023e+00
2.611e+02 1.906e+00 3.771e-01 1.569e-01 1.222e+00 1.177e+00 1.590e-01 1.115e+00 3.476e-01 1.069e+00
3.301e+02 2.308e+00 5.036e-01 2.122e-01 1.626e+00 1.298e+00 2.145e-01 1.501e+00 4.686e-01 1.128e+00
4.174e+02 2.817e+00 6.633e-01 2.823e-01 2.136e+00 1.453e+00 2.848e-01 1.988e+00 6.214e-01 1.201e+00
5.277e+02 3.458e+00 8.643e-01 3.708e-01 2.777e+00 1.651e+00 3.734e-01 2.602e+00 8.141e-01 1.289e+00
6.672e+02 4.264e+00 1.117e+00 4.824e-01 3.582e+00 1.902e+00 4.849e-01 3.375e+00 1.056e+00 1.399e+00
8.435e+02 5.278e+00 1.434e+00 6.226e-01 4.594e+00 2.217e+00 6.251e-01 4.344e+00 1.360e+00 1.537e+00
1.066e+03 6.549e+00 1.832e+00 7.987e-01 5.862e+00 2.612e+00 8.010e-01 5.560e+00 1.741e+00 1.708e+00
1.348e+03 8.143e+00 2.331e+00 1.020e+00 7.451e+00 3.109e+00 1.022e+00 7.081e+00 2.218e+00 1.922e+00
1.705e+03 1.014e+01 2.956e+00 1.296e+00 9.441e+00 3.731e+00 1.298e+00 8.982e+00 2.813e+00 2.189e+00
2.155e+03 1.264e+01 3.738e+00 1.643e+00 1.193e+01 4.510e+00 1.643e+00 1.136e+01 3.557e+00 2.522e+00
2.725e+03 1.577e+01 4.716e+00 2.076e+00 1.505e+01 5.485e+00 2.076e+00 1.432e+01 4.484e+00 2.936e+00
3.445e+03 1.967e+01 5.939e+00 2.618e+00 1.894e+01 6.702e+00 2.616e+00 1.801e+01 5.638e+00 3.451e+00
4.355e+03 2.455e+01 7.465e+00 3.295e+00 2.380e+01 8.223e+00 3.290e+00 2.259e+01 7.074e+00 4.090e+00
5.506e+03 3.064e+01 9.371e+00 4.139e+00 2.986e+01 1.012e+01 4.131e+00 2.828e+01 8.855e+00 4.881e+00
